dataset,input_variable,who_variable
GPHIN,COUNTRY /ORGANIZATION,country_territory_area
GPHIN,COUNTRY /ORGANIZATION,area_covered
GPHIN,DATE ADDED,date_start
GPHIN,DATE ADDED,date_entry
GPHIN,SOURCE,source_type
GPHIN,prop_id,prop_id
GPHIN,GPHIN ID,
GPHIN,SUMMARY,comments
GPHIN,LAND SCREENING,prov_measure
GPHIN,BORDER CLOSING,prov_measure
GPHIN,AIRPORT SCREENING: ENTRY,prov_measure
GPHIN,AIRPORT SCREENING: EXIT,prov_measure
GPHIN,QUARANTINE / MONITORING,prov_measure
GPHIN,TRAVEL ADVISORY,prov_measure
GPHIN,TESTING & CASE DETECTION,prov_measure
GPHIN,RESTRICTING OR LIMITING GATHERINGS,prov_measure
GPHIN,CLOSING PUBLIC PLACES,prov_measure
GPHIN,LOCKDOWN OR CURFEW,prov_measure
GPHIN,EASIND RESTRICTIONS,prov_measure
GPHIN,TRAVEL BAN,prov_measure
GPHIN,TRADE BANS,prov_measure
GPHIN,EDUCATION CAMPAIGN,prov_measure
GPHIN,MASS GATHERING CANCELLATION,prov_measure
GPHIN,REPATRIATION,prov_measure
GPHIN,VACCINE/MCM DEPLOYED,prov_measure
GPHIN,PPE,prov_measure
GPHIN,RESEARCH ADVANCEMENT,prov_measure
GPHIN,COMMENTS,link
