dataset,old_key,new_key
ACAPS,ID,prop_id
ACAPS,COUNTRY,country_territory_area
ACAPS,ISO,iso
ACAPS,ADMIN_LEVEL_NAME,area_covered
ACAPS,PCODE,
ACAPS,LOG_TYPE,measure_stage
ACAPS,CATEGORY,prov_category
ACAPS,MEASURE,prov_measure
ACAPS,TARGETED_POP_GROUP,targeted
ACAPS,COMMENTS,comments
ACAPS,NON_COMPLIANCE,non_compliance_penalty
ACAPS,DATE_IMPLEMENTED,date_start
ACAPS,SOURCE,source
ACAPS,SOURCE_TYPE,source_type
ACAPS,LINK,link
ACAPS,ENTRY_DATE,date_entry
ACAPS,Alternative source,source_alt
ACAPS,dataset,dataset
