dataset,phrase
OXCGRT,^As above. No new policies.
OXCGRT,^As above. No new policies announced.
OXCGRT,^No change
OXCGRT,^No update
OXCGRT,^No announcements
OXCGRT,^Not much detail
OXCGRT,^No new
OXCGRT,^No further announcements
OXCGRT,^No mention
OXCGRT,^Remains in place.
OXCGRT,^No new policy
OXCGRT,^no change in policy found
OXCGRT,^no change in policy
OXCGRT,^no change in policy could be found
OXCGRT,^No changes observed.
OXCGRT,^No changes reported.
OXCGRT,^No changes observed here.
OXCGRT,^no changes observed here.
OXCGRT,^No policy change
OXCGRT,^No policy updates.
OXCGRT,^no change
OXCGRT,^The policy stays unchanged: 
OXCGRT,^no updates recorded.
OXCGRT,^No updates recorded.
OXCGRT,^NO change
OXCGRT,^No policy update detected
OXCGRT,^unable to find any information
OXCGRT,^Unable to find any information
OXCGRT,^No noted changes
OXCGRT,^Still in place
OXCGRT,^Change in policy not found
OXCGRT,^No evidence of a policy change
