column,value
admin_level,national
admin_level,state
admin_level,other
enforcement,recommended
enforcement,not applicable
enforcement,required
enforcement,monitored
enforcement,not known
keep,y
keep,n
link_eng,no
link_eng,unknown
link_eng,yes
measure_stage,modification
measure_stage,new
measure_stage,extension
measure_stage,phase-out
measure_stage,finish
non_compliance_penalty,required
non_compliance_penalty,recommended
non_compliance_penalty,not applicable
non_compliance_penalty,not known
non_compliance_penalty,refused entry
non_compliance_penalty,up to detention
non_compliance_penalty,fines
non_compliance_penalty,arrest/detention
non_compliance_penalty,other
non_compliance_penalty,refused exit
non_compliance_penalty,legal action
non_compliance_penalty,Refused entry to country
non_compliance_penalty,Deportation
non_compliance_penalty,not available
processed,sequenced
processed,cleansed
processed,not_cleansed
reason_ended,finish
reason_ended,new
reason_ended,modification
reason_ended,extension
reason_ended,phase-out
reason_ended,time limited
