dataset,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,non_compliance,who_targeted
ACAPS,Governance and socio-economic measures,,Economic measures,8.3,Other measures,,Financial packages,,
ACAPS,Governance and socio-economic measures,,Emergency administrative structures activated or established,8.3,Other measures,,Financial packages,,
ACAPS,Social distancing,,Emergency administrative structures activated or established,8.3,Other measures,,Financial packages,,
ACAPS,Governance and socio-economic measures,,Limit product imports/exports,8.3,Other measures,,Financial packages,,
ACAPS,Governance and socio-economic measures,,Military deployment,8.3,Other measures,,Financial packages,,
ACAPS,Governance and socio-economic measures,,State of emergency declared,8.3,Other measures,,Financial packages,,
ACAPS,Governance and socio-economic measures,,Curfews,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,,
ACAPS,Governance and socio-economic measures,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,,
ACAPS,Movement restrictions,,State of emergency declared,8.3,Other measures,,Financial packages,,
ACAPS,Humanitarian exemption,,Humanitarian exemptions,8.1,Other measures,,Legal and policy regulations,,
ACAPS,Lockdown,,Full lockdown,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,,
ACAPS,Lockdown,,full lockdown,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,,
ACAPS,Lockdown,,Lockdown of refugee/idp camps or other minorities,4.4.3,Social and physical distancing measures,Special populations,Protecting displaced populations,,
ACAPS,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,,
ACAPS,Movement restrictions,,Additional health/documents requirements upon arrival,5.3,International travel measures,,Restricting entry,,
ACAPS,Movement restrictions,,Border checks,5.5,International travel measures,,Entry screening and isolation or quarantine,,
ACAPS,Movement restrictions,,Border closure,5.5,International travel measures,,Entry screening and isolation or quarantine,,
ACAPS,Movement restrictions,,Checkpoints within the country,4.5.3,Social and physical distancing measures,Domestic travel ,Restricting entry,,
ACAPS,Movement restrictions,,Complete border closure,5.9,International travel measures,,Closing international land borders,,
ACAPS,Movement restrictions,,Curfews,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,,
ACAPS,Movement restrictions,,curfews,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,,
ACAPS,Movement restrictions,,Domestic travel restrictions,4.5.1,Social and physical distancing measures,Domestic travel ,Suspending or restricting movement,,
ACAPS,Movement restrictions,,International flights suspension,5.7,International travel measures,,Suspending or restricting international flights,,
ACAPS,Movement restrictions,,Surveillance and monitoring,3.1,Surveillance and response measures,Detecting and isolating cases,,,
ACAPS,Movement restrictions,,Visa restrictions,5.2,International travel measures,,Restricting visas,,
ACAPS,Movement restrictions,,Emergency administrative structures activated or established,8.3,Other measures,,Financial packages,,
ACAPS,Public health measures,,Amendments to funeral and burial regulations,4.3.2,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting private gatherings outside the home",,
ACAPS,Public health measures,,Awareness campaigns,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,
ACAPS,Public health measures,,awareness campaigns,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,
ACAPS,Public health measures,,General recommendations,8.4,Other measures,Communications and engagement,,,
ACAPS,Public health measures,,Health screenings in airports and border crossings,5.5,International travel measures,,Entry screening and isolation or quarantine,,
ACAPS,Public health measures,,Isolation and quarantine policies,3.1.3,Surveillance and response measures,Detecting and isolating cases,Isolation,,
ACAPS,Public health measures,,Mass population testing,3.1.2,Surveillance and response measures,Detecting and isolating cases,Active case detection,,
ACAPS,Public health measures,,Obligatory medical tests not related to COVID-19,5.5,International travel measures,,Entry screening and isolation or quarantine,,
ACAPS,Public health measures,,Other public health measures enforced,2,Environmental measures,,,,
ACAPS,Public health measures,,Psychological assistance and medical social work,8.5,Other measures,,,,
ACAPS,Public health measures,,Requirement to wear protective gear in public,1.5,Individual measures,,Using other personal protective equipment,,
ACAPS,Public health measures,,requirement to wear protective gear in public,1.5,Individual measures,,Using other personal protective equipment,,
ACAPS,Public health measures,,Strengthening the public health system,8.2,Other measures,,Scaling up,,
ACAPS,Public health measures,,strengthening the public health system,8.2,Other measures,,Scaling up,,
ACAPS,Public health measures,,Testing policy,3.1,Surveillance and response measures,Detecting and isolating cases,,,
ACAPS,Public health measures,,testing policy,3.1,Surveillance and response measures,Detecting and isolating cases,,,
ACAPS,Public health measures,,State of emergency declared,8.3,Other measures,,Financial packages,,
ACAPS,Social distancing,,Changes in prison-related policies,4.4.2,Social and physical distancing measures,Special populations,Protecting populations in closed settings,,
ACAPS,Social distancing,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,,
ACAPS,Public health measures,,Limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,,
ACAPS,Social distancing,,limit public gatherings,4.3,Social and physical distancing measures,"Gatherings, businesses and services",,,
ACAPS,Social distancing,,Closure of businesses and public services,4,Social and physical distancing measures,,,,
ACAPS,Social distancing,,Schools closure,4.1.2,Social and physical distancing measures,School measures ,Closing,,
ACAPS,Social distancing,,State of emergency declared,8.3,Other measures,,Financial packages,,
