dataset,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,non_compliance,who_targeted
Vienna,"Case identification, contact tracing and related measures",Airport health check,Check for symptoms,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Extension of the measure,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Health certificate requested,5.3,International travel measures,,Restricting entry,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Health declaration,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Health screening,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Measure temperature,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for all passengers,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from China,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from high-risk areas other than China,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from Hubei,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Quarantine all incoming people with fever,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Quarantine and health screening,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Test travellers with fever or symptoms,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Thermal scanners at train stations,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,Travellers from China: Questionnaire,5.5,International travel measures,,Entry screening and isolation or quarantine,,
Vienna,"Case identification, contact tracing and related measures",Airport health check,,5.5,International travel measures,,Entry screening and isolation or quarantine,,
