dataset,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,non_compliance,who_targeted
WHO-IHR,International Travel,,quarantine_nationals,5.5,International travel measures,,Entry screening and isolation or quarantine,,
WHO-IHR,International Travel,,quarantine_non_nationals,5.5,International travel measures,,Entry screening and isolation or quarantine,,
WHO-IHR,International Travel,,flight_restriction multiple_country,5.7,International travel measures,,Suspending or restricting international flights,,
WHO-IHR,International Travel,,flight_restriction single_country,5.7,International travel measures,,Suspending or restricting international flights,,
WHO-IHR,International Travel,,ship_restriction single_country,5.8,International travel measures,,Suspending or restricting international ferries or ships,,
WHO-IHR,International Travel,,land_restriction single_country,5.9,International travel measures,,Closing international land borders,,
WHO-IHR,International Travel,,trade,8.5,Other measures,,,,
WHO-IHR,International Travel,,general_req,8.5,Other measures,,,,
WHO-IHR,International Travel,,self_isolation,5.5,International travel measures,,Entry screening and isolation or quarantine,,
WHO-IHR,International Travel,,exit_ban,5.4,International travel measures,,Restricting exit,,
WHO-IHR,International Travel,,visa_restriction,5.2,International travel measures,,Restricting visas,,
WHO-IHR,International Travel,,land_restriction,5.9,International travel measures,,Closing international land borders,,
WHO-IHR,International Travel,,land_restriction multiple_country,5.9,International travel measures,,Closing international land borders,,
WHO-IHR,International Travel,,flight_restriction all_country,5.7,International travel measures,,Suspending or restricting international flights,,
WHO-IHR,International Travel,,land_restriction all_country,5.9,International travel measures,,Closing international land borders,,
WHO-IHR,International Travel,,ship_restriction all_country,5.8,International travel measures,,Suspending or restricting international ferries or ships,,
WHO-IHR,International Travel,,flight_restriction,5.7,International travel measures,,Suspending or restricting international flights,,
WHO-IHR,International Travel,,ship_restriction,5.8,International travel measures,,Suspending or restricting international ferries or ships,,
WHO-IHR,International Travel,,ship_restriction multiple_country,5.8,International travel measures,,Suspending or restricting international ferries or ships,,
WHO-IHR,International Travel,,NA,11,Not enough to code,Not enough to code,Not enough to code,,
