processed,who_id,dataset,prop_id,keep,duplicate_record_id,who_region,country_territory_area,iso,iso_3166_1_numeric,admin_level,area_covered,prov_category,prov_subcategory,prov_measure,who_code,who_category,who_subcategory,who_measure,comments,date_start,measure_stage,prev_measure_number,following_measure_number,date_end,reason_ended,targeted,enforcement,non_compliance_penalty,value_usd,percent_interest,date_entry,link,link_live,link_eng,source,source_type,alt_link,alt_link_live,alt_link_eng,source_alt,queries_comments
,JH_HIT_MfOqUP,JH_HIT,40_primary_school,,,AMRO,united states of america,USA,840,state,New York,school_closed,,Primary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing,,2020-03-15 00:00:00,,,,,,Primary school closures,,recommended,,,2020-03-29 17:56:13,,,,https://www.dropbox.com/s/yufoq9pyhatkmuz/40_school_closed.pdf?dl=1,,,,,,
,JH_HIT_74tnS6,JH_HIT,40_sec_school,,,AMRO,united states of america,USA,840,state,New York,school_closed,,Secondary school closures,4.1.2,Social and physical distancing measures,School measures ,Closing, Except for children of essential personnel who can attend learning centers.,2020-03-15 00:00:00,,,,,,Secondary school closures,,recommended,,,2020-03-29 17:56:13,,,,https://www.dropbox.com/s/yufoq9pyhatkmuz/40_school_closed.pdf?dl=1,,,,,,
,JH_HIT_qHk626,JH_HIT,56_screening_sea,,,WPRO,china,CHN,156,state,Taiwan,symp_screening,,Symptom screening when entering by sea,5.5,International travel measures,,Entry screening and isolation or quarantine,Passengers arriving from the Mainland at the Seaports of these three separate islands were monitored for fever and travel history to Wuhan.,2020-01-08 00:00:00,,,,,,geographic subpopulation,,required,,,2020-03-30 09:18:10,,,,https://www.dropbox.com/s/pjkb53e8t2ircti/56_symp_screening.pdf?dl=1,,,,,yes,
,JH_HIT_o5NPn0,JH_HIT,165_border_in_air,,,AFRO,ghana,GHA,288,state,Ashanti,closed_border,,Border closures for entering by air,5.7,International travel measures,,Suspending or restricting international flights,"Greater kumasi has been temporarily closed down and as a results, internal flights coming or leaving the kumasi airport is suspended. ",2020-03-30 00:00:00,,,,,,entire population,,,,,2020-03-31 10:42:57,,,,https://www.dropbox.com/s/akgawhe8g1e5fzq/165_closed_border.pdf?dl=1,,,,,moi.gov.gh,
,JH_HIT_p9ZwMu,JH_HIT,165_border_in_land,,,AFRO,ghana,GHA,288,state,Ashanti,closed_border,,Border closures for entering by land,5.9,International travel measures,,Closing international land borders,"Essential items like food, drugs etc distribution is allowed by land from the other regions to kumasi ",2020-03-30 00:00:00,,,,,,other subpopulation,,,,,2020-03-31 10:42:57,,,,https://www.dropbox.com/s/akgawhe8g1e5fzq/165_closed_border.pdf?dl=1,,,,,moi.gov.gh,
,JH_HIT_LRkW4m,JH_HIT,256_confinement,,,AMRO,united states of america,USA,840,state,Mississippi,household_confined,,Household confinement,4.5.2,Social and physical distancing measures,Domestic travel ,Stay-at-home order,"Shelter in place issued from the governors office for Lauderdale County ONLY;Able to leave the house for essential functions, including: getting meals or distance learning devices from schools, maintaining security/premises at nonessential businesses, grocery/pharmacy/food procurement, travel for care, exercise. Public parks, playgrounds, clubs, community facilities, movie theaters, etc. are completely closed to the public. Walking trails remain open. Evictions suspended. ",2020-03-31 00:00:00,,,,,,entire population,,required,,,2020-04-01 13:11:29,,,,https://www.dropbox.com/s/52rl40pskrvjwvn/256_household_confined.pdf?dl=1,,,,,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1465.pdf,
,JH_HIT_ZQAK5G,JH_HIT,284_border_in_land,,,AMRO,united states of america,USA,840,state,North Carolina,closed_border,,Border closures for entering by land,5.9,International travel measures,,Closing international land borders,Road barriers put up to prevent traffic from any access point into the county ,2020-03-27 00:00:00,,,,,,entire population,,,,,2020-04-01 17:46:00,,,,https://www.dropbox.com/s/7c2ka7vu2447xqt/284_closed_border.pdf?dl=1,,,,,http://grahamcounty.org/coronavirus-information/,
,JH_HIT_gi0YKx,JH_HIT,286_border_in_air,,,AMRO,united states of america,USA,840,state,North Carolina,closed_border,,Border closures for entering by air,5.7,International travel measures,,Suspending or restricting international flights,This is the first known county in NC to close its borders as a result of COVID19. This is said to be purely a preventative measure as no cases were documented as of closure. All routes into the county have checkpoints as of 3/10/2020 and access for residents require permits. Access is forbidden to nonresidents. ,2020-03-10 00:00:00,,,,,,entire population,,,,,2020-04-01 18:07:01,,,,https://www.dropbox.com/s/939cvt41jt71nk9/286_closed_border.pdf?dl=1,,,,,"https://www.darenc.com/departments/emergency-management/entry

https://carolinapublicpress.org/30012/dare-closes-borders-due-to-coronavirus-requires-entry-permits/

",
,JH_HIT_uj8m6F,JH_HIT,286_border_in_land,,,AMRO,united states of america,USA,840,state,North Carolina,closed_border,,Border closures for entering by land,5.9,International travel measures,,Closing international land borders,This is the first known county in NC to close its borders as a result of COVID19. This is said to be purely a preventative measure as no cases were documented as of closure. All routes into the county have checkpoints as of 3/10/2020 and access for residents require permits. Access is forbidden to nonresidents. ,2020-03-10 00:00:00,,,,,,entire population,,,,,2020-04-01 18:07:01,,,,https://www.dropbox.com/s/939cvt41jt71nk9/286_closed_border.pdf?dl=1,,,,,"https://www.darenc.com/departments/emergency-management/entry

https://carolinapublicpress.org/30012/dare-closes-borders-due-to-coronavirus-requires-entry-permits/

",
,JH_HIT_atPMIu,JH_HIT,286_border_in_sea,,,AMRO,united states of america,USA,840,state,North Carolina,closed_border,,Border closures for entering by sea,5.8,International travel measures,,Suspending or restricting international ferries or ships,This is the first known county in NC to close its borders as a result of COVID19. This is said to be purely a preventative measure as no cases were documented as of closure. All routes into the county have checkpoints as of 3/10/2020 and access for residents require permits. Access is forbidden to nonresidents. ,2020-03-10 00:00:00,,,,,,entire population,,,,,2020-04-01 18:07:01,,,,https://www.dropbox.com/s/939cvt41jt71nk9/286_closed_border.pdf?dl=1,,,,,"https://www.darenc.com/departments/emergency-management/entry

https://carolinapublicpress.org/30012/dare-closes-borders-due-to-coronavirus-requires-entry-permits/

",
